processador,ram,ssd,preco,link
"Processador Intel Core i3-10100 Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$2.606,00 10x de R$260,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100-8gb-ddr4-ssd-256gb-500w-pbs308
"Processador Intel Celeron G5905 Dual-Core 3.5GHz 4MB Cache LGA1200, BX80701G5905",,"SSD Lexar NM100 128GB M.2 2280 Sata 6GB/s, LNM100-128RBNA","as R$1.771,00 10x de R$177,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g5905-3-5ghz-8gb-ddr4-ssd-128gb-m-2-500w-pbs306
"Processador Intel Celeron G5905 Dual-Core 3.5GHz 4MB Cache LGA1200, BX80701G5905",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$1.876,00 10x de R$187,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g5905-3-5ghz-8gb-ddr4-ssd-256gb-500w-pbs306
"Processador Intel Core i5-10400F Hexa-Core 2.9Ghz (4.3Ghz Turbo) 12MB Cache LGA1200, BX8070110400F",,,"as R$3.366,00 10x de R$336,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-10400f-radeon-r5-220-2gb-8gb-ddr4-hd-1tb-500w-pbs308
"Processador AMD A6-7480 Dual-Core 3.8GHz 1MB Cache FM2+, AD7480ACABBOX",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$1.856,00 10x de R$185,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-a6-7480-8gb-2x4-ddr3-ssd-256gb-500w-raider
"Processador AMD Ryzen 5 3500X Hexa-Core 3.6GHz (4.1GHz Turbo) 35MB Cache AM4, 100-100000158MPK",,,"as R$3.138,00 10x de R$313,80 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-5-3500x-radeon-r5-220-2gb-8gb-ddr4-hd-1tb-500w-f150-pbs308
"Processador Intel Pentium G4560 Dual-Core 3.5GHz 3MB Cache LGA1151, BX80677G4560-OEM",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$1.955,00 10x de R$195,50 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g4560-8gb-ddr4-ssd-256gb-500w-cooler-f50-pbs308
"Processador Intel Core i3-10100 Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100",,"SSD Lexar NM100 128GB M.2 2280 Sata 6GB/s, LNM100-128RBNA","as R$2.511,00 10x de R$251,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100-8gb-ddr4-ssd-128gb-m-2-500w-pbs306
"Processador Intel Core i3-10100F Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100F",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$2.521,00 10x de R$252,10 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100f-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-500w-raider
"Processador Intel Core i3-7100 Dual-Core 3.9GHz 3MB Cache LGA1151, BX80677I37100-OEM",,,"as R$2.249,00 10x de R$224,90 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-7100-8gb-ddr4-hd-1tb-500w-combat
